 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
   174   0.00359799  -0.00471409   0.00593028       -52.65
   175   0.00289110  -0.00505359   0.00582213       -60.23
   176   0.00214052  -0.00531224   0.00572728       -68.05
   177   0.00135754  -0.00548634   0.00565180       -76.10
   178   0.00055395  -0.00557329   0.00560075       -84.32
   179  -0.00025813  -0.00557170   0.00557768       -92.65
   180  -0.00106635  -0.00548140   0.00558416      -101.01
   181  -0.00185826  -0.00530348   0.00561961      -109.31
   182  -0.00262149  -0.00504036   0.00568132      -117.48
   183  -0.00334391  -0.00469581   0.00576475      -125.45
   184  -0.00401380  -0.00427501   0.00586398      -133.19
   185  -0.00462007  -0.00378458   0.00597227      -140.68
   186  -0.00515249  -0.00323272   0.00608265      -147.90
   187  -0.00560188  -0.00262986   0.00618847      -154.85
   188  -0.00596035  -0.00198837   0.00628326      -161.55
   189  -0.00622155  -0.00133244   0.00636263      -167.91
   190  -0.00638045  -0.00066929   0.00641546      -174.01
   191  -0.00643545  -0.00019974   0.00643855      -178.22
   192  -0.00766260   0.00099212   0.00772656       172.62
   193  -0.00747652   0.00164489   0.00765532       167.59
   194  -0.00717302   0.00227946   0.00752650       162.37
   195  -0.00676838   0.00287834   0.00735499       156.96
   196  -0.00626528   0.00341812   0.00713704       151.38
   197  -0.00580977   0.00379260   0.00693810       146.86
   198  -0.00195481  -0.00133731   0.00236847      -145.62
   199  -0.00163155  -0.00111780   0.00197773      -145.58
   200  -0.00104804  -0.00072102   0.00127210      -145.47
   201   0.00570025  -0.00252926   0.00623618       -23.93
   202   0.00541438  -0.00311659   0.00624729       -29.93
   203   0.00503419  -0.00367187   0.00623102       -36.11
   204   0.00456544  -0.00418929   0.00619624       -42.54
   205   0.00401894  -0.00464786   0.00614447       -49.15
   206   0.00340466  -0.00503652   0.00607933       -55.94
   207   0.00273345  -0.00534642   0.00600466       -62.92
   208   0.00201679  -0.00557120   0.00592501       -70.10
   209   0.00126681  -0.00570642   0.00584534       -77.48
   210   0.00049610  -0.00574942   0.00577079       -85.07
   211  -0.00028248  -0.00569928   0.00570628       -92.84
   212  -0.00105596  -0.00555673   0.00565617      -100.76
   213  -0.00181152  -0.00532410   0.00562384      -108.79
   214  -0.00253664  -0.00500528   0.00561136      -116.88
   215  -0.00321937  -0.00460561   0.00561925      -124.95
   216  -0.00384846  -0.00413182   0.00564646      -132.97
   217  -0.00441361  -0.00359183   0.00569045      -140.86
   218  -0.00490558  -0.00299471   0.00574744      -148.60
   219  -0.00531641  -0.00235045   0.00581281      -156.15
   220  -0.00563946  -0.00166979   0.00588147      -163.51
   221  -0.00586961  -0.00096411   0.00594826      -170.67
   222  -0.00600327  -0.00024513   0.00600827      -177.66
   223  -0.00603849   0.00047520   0.00605716      -184.50
   224  -0.00597497   0.00118494   0.00609133      -191.22
   225  -0.00581403   0.00187236   0.00610808      -197.85
   226  -0.00555863   0.00252615   0.00610571      -204.44
   227  -0.00521330   0.00313556   0.00608360      -211.03
   228  -0.00478406   0.00369064   0.00604219      -217.65
   229  -0.00427831   0.00418236   0.00598299      -224.35
   230  -0.00370472   0.00460278   0.00590852      -231.17
   231  -0.00307306   0.00494518   0.00582224      -238.14
   232  -0.00239405   0.00520416   0.00572842      -245.30
   233  -0.00167916   0.00537575   0.00563189      -252.65
   234  -0.00094045   0.00545742   0.00553786      -260.22
   235  -0.00019033   0.00544821   0.00545154      -268.00
   236   0.00055864   0.00534865   0.00537774      -275.96
   237   0.00129393   0.00516079   0.00532052      -284.08
   238   0.00200330   0.00488816   0.00528273      -292.29
   239   0.00267498   0.00453570   0.00526575      -300.53
   240   0.00329785   0.00410970   0.00526929      -308.75
   241   0.00386165   0.00361762   0.00529146      -316.87
   242   0.00435715   0.00306806   0.00532895      -324.85
   243   0.00477628   0.00247051   0.00537738      -332.65
   244   0.00511229   0.00183528   0.00543174      -340.25
   245   0.00535985   0.00117326   0.00548676      -347.65
   246   0.00551512   0.00049575   0.00553736      -354.86
   247   0.00557584  -0.00018571   0.00557893      -361.91
   248   0.00554134  -0.00085956   0.00560761      -368.82
   249   0.00541257  -0.00151439   0.00562044      -375.63
   250   0.00519205  -0.00213918   0.00561547      -382.39
   251   0.00488385  -0.00272342   0.00559187      -389.15
   252   0.00449351  -0.00325734   0.00554995      -395.94
   253   0.00402795  -0.00373204   0.00549113      -402.82
   254   0.00349532  -0.00413966   0.00541794      -409.82
   255   0.00290491  -0.00447350   0.00533392      -417.00
   256   0.00226695  -0.00472811   0.00524348      -424.38
   257   0.00159245  -0.00489944   0.00515174      -431.99
   258   0.00089300  -0.00498483   0.00506419      -439.84
   259   0.00018061  -0.00498310   0.00498637      -447.92
   260  -0.00053253  -0.00489455   0.00492344      -456.21
   261  -0.00123426  -0.00472096   0.00487963      -464.65
   262  -0.00191261  -0.00446554   0.00485789      -473.19
   263  -0.00255605  -0.00413289   0.00485944      -481.74
   264  -0.00315367  -0.00372891   0.00488368      -490.22
   265  -0.00369534  -0.00326070   0.00492825      -498.58
   266  -0.00417191  -0.00273643   0.00498927      -506.74
   267  -0.00457534  -0.00216522   0.00506181      -514.67
   268  -0.00489885  -0.00155695   0.00514032      -522.37
   269  -0.00513703  -0.00092212   0.00521914      -529.82
   270  -0.00528592  -0.00027167   0.00529290      -537.06
   271  -0.00534308   0.00038324   0.00535681      -544.10
   272  -0.00530761   0.00103138   0.00540690      -551.00
   273  -0.00518022   0.00166166   0.00544020      -557.78
   274  -0.00496313   0.00226329   0.00545483      -564.51
   275  -0.00466011   0.00282602   0.00545005      -571.23
   276  -0.00427637   0.00334027   0.00542630      -577.99
   277  -0.00381847   0.00379728   0.00538517      -584.84
   278  -0.00329424   0.00418930   0.00532938      -591.82
