 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
   233   0.00208390  -0.00453622   0.00499199       -65.33
   234   0.00153725  -0.00497333   0.00520549       -72.82
   235   0.00096330  -0.00532683   0.00541323       -79.75
   236   0.00037178  -0.00559073   0.00560308       -86.20
   237  -0.00022734  -0.00576057   0.00576505       -92.26
   238  -0.00082394  -0.00583346   0.00589136       -98.04
   239  -0.00140797  -0.00580815   0.00597637      -103.63
   240  -0.00196960  -0.00568504   0.00601656      -109.11
   241  -0.00249938  -0.00546616   0.00601048      -114.57
   242  -0.00298843  -0.00515518   0.00595874      -120.10
   243  -0.00342853  -0.00475727   0.00586399      -125.78
   244  -0.00381233  -0.00427909   0.00573101      -131.70
   245  -0.00413342  -0.00372863   0.00556667      -137.95
   246  -0.00438646  -0.00311507   0.00538003      -144.62
   247  -0.00456725  -0.00244868   0.00518226      -151.80
   248  -0.00467282  -0.00174056   0.00498647      -159.57
   249  -0.00470147  -0.00100255   0.00480718      -167.96
   250  -0.00465279  -0.00024694   0.00465934      -176.96
   251  -0.00452765   0.00051368   0.00455670      -186.47
   252  -0.00432824   0.00126664   0.00450977      -196.31
   253  -0.00405795   0.00199941   0.00452378      -206.23
   254  -0.00372138   0.00269983   0.00459758      -215.96
   255  -0.00332421   0.00335626   0.00472386      -225.27
   256  -0.00287316   0.00395782   0.00489075      -234.02
   257  -0.00237579   0.00449458   0.00508386      -242.14
   258  -0.00184046   0.00495766   0.00528826      -249.63
   259  -0.00127613   0.00533945   0.00548982      -256.56
   260  -0.00069221   0.00563369   0.00567606      -263.00
   261  -0.00009846   0.00583561   0.00583644      -269.03
   262   0.00049527   0.00594196   0.00596256      -274.76
   263   0.00107913   0.00595109   0.00604814      -280.28
   264   0.00164345   0.00586301   0.00608899      -285.66
   265   0.00217893   0.00567929   0.00608294      -290.99
   266   0.00267677   0.00540315   0.00602985      -296.35
   267   0.00312883   0.00503931   0.00593163      -301.84
   268   0.00352776   0.00459395   0.00579219      -307.52
   269   0.00386712   0.00407460   0.00561756      -313.50
   270   0.00414147   0.00349002   0.00541590      -319.88
   271   0.00434650   0.00285001   0.00519756      -326.75
   272   0.00447906   0.00216532   0.00497500      -334.20
   273   0.00453724   0.00144739   0.00476250      -342.31
   274   0.00452036   0.00070819   0.00457549      -351.10
   275   0.00442901  -0.00003998   0.00442919      -360.52
   276   0.00426504  -0.00078467   0.00433663      -370.42
   277   0.00403151  -0.00151357   0.00430627      -380.58
   278   0.00373260  -0.00221463   0.00434015      -390.68
   279   0.00337363  -0.00287630   0.00443334      -400.45
   280   0.00296088  -0.00348774   0.00457505      -409.67
   281   0.00250149  -0.00403896   0.00475086      -418.23
   282   0.00200341  -0.00452103   0.00494503      -426.10
   283   0.00147516  -0.00492621   0.00514234      -433.33
   284   0.00092578  -0.00524808   0.00532911      -440.00
   285   0.00036459  -0.00548166   0.00549377      -446.19
   286  -0.00019891  -0.00562349   0.00562700      -452.03
   287  -0.00075520  -0.00567170   0.00572176      -457.58
   288  -0.00129496  -0.00562607   0.00577318      -462.96
   289  -0.00180916  -0.00548803   0.00577854      -468.25
   290  -0.00228925  -0.00526070   0.00573722      -473.52
   291  -0.00272733  -0.00494886   0.00565062      -478.86
   292  -0.00311622  -0.00455897   0.00552223      -484.35
   293  -0.00344966  -0.00409922   0.00535759      -490.08
   294  -0.00372240  -0.00357954   0.00516424      -136.12
   295  -0.00393034  -0.00301198   0.00495173      -142.54
   296  -0.00407058  -0.00241019   0.00473060      -149.37
   297  -0.00414230  -0.00179485   0.00451444      -156.57
   298  -0.00414382  -0.00117301   0.00430664      -164.19
   299  -0.00409369  -0.00067890   0.00414960      -170.58
   300  -0.00473602   0.00111294   0.00486503      -193.22
   301  -0.00451526   0.00171991   0.00483174      -200.85
   302  -0.00422266   0.00230926   0.00481285      -208.67
   303  -0.00387092   0.00286759   0.00481737      -216.53
   304  -0.00346355   0.00337904   0.00483881      -224.29
   305  -0.00312372   0.00373126   0.00486620      -230.06
   306  -0.00123889  -0.00102438   0.00160755      -140.41
   307  -0.00088741  -0.00072008   0.00114281      -140.94
   308   0.00085392  -0.00106297   0.00136349       -51.22
   309   0.00088235  -0.00079740   0.00118928       -42.10
   310   0.00093051  -0.00029147   0.00097510       -17.39
   311   0.00097015   0.00022165   0.00099515        12.87
   312  -0.00093310  -0.00031264   0.00098408      -161.48
   313  -0.00090683   0.00003832   0.00090764      -182.42
   314  -0.00086164   0.00054691   0.00102055      -212.40
   315  -0.00080167   0.00105095   0.00132181      -232.66
   316  -0.00076724   0.00130250   0.00151167      -239.50
   317   0.00192764   0.00088681   0.00212184        24.70
   318   0.00193436   0.00123286   0.00229384        32.51
   319   0.00194227   0.00172269   0.00259617        41.57
   320   0.00194406   0.00404884   0.00449138        64.35
   321   0.00194227   0.00172269   0.00259617        41.57
   322   0.00193436   0.00123286   0.00229384        32.51
   323   0.00192764   0.00088681   0.00212184        24.70



