 [antenna_field.dat]

  É” = 90.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -22.000  -0.08977   0.06704   0.11204   143.248   -6.6712   **  -0.02271  -0.08013   0.08328  -105.824   -9.2473   **   -4.7607   249.0724 
 -21.000  -0.09702   0.07208   0.12087   143.389   -6.0123   **  -0.02878  -0.08898   0.09351  -107.923   -8.2408   **   -3.9748   251.3115 
 -20.000  -0.10450   0.07729   0.12998   143.514   -5.3809   **  -0.03515  -0.09813   0.10424  -109.706   -7.2978   **   -3.2242   253.2201 
 -19.000  -0.11221   0.08265   0.13936   143.626   -4.7755   **  -0.04181  -0.10759   0.11543  -111.238   -6.4123   **   -2.5069   254.8648 
 -18.000  -0.12013   0.08816   0.14900   143.727   -4.1944   **  -0.04876  -0.11732   0.12705  -112.568   -5.5791   **   -1.8215   256.2954 
 -17.000  -0.12825   0.09380   0.15889   143.818   -3.6363   **  -0.05597  -0.12731   0.13907  -113.732   -4.7935   **   -1.1661   257.5504 
 -16.000  -0.13656   0.09958   0.16901   143.900   -3.1000   **  -0.06344  -0.13755   0.15148  -114.759   -4.0514   **   -0.5394   258.6593 
 -15.000  -0.14505   0.10548   0.17935   143.974   -2.5845   **  -0.07115  -0.14802   0.16423  -115.671   -3.3493   **    0.0602   259.6454 
 -14.000  -0.15369   0.11150   0.18988   144.041   -2.0888   **  -0.07907  -0.15869   0.17730  -116.486   -2.6842   **    0.6340   260.5275 
 -13.000  -0.16249   0.11761   0.20059   144.102   -1.6121   **  -0.08720  -0.16955   0.19066  -117.218   -2.0532   **    1.1832   261.3205 
 -12.000  -0.17142   0.12382   0.21146   144.158   -1.1536   **  -0.09552  -0.18056   0.20427  -117.879   -1.4541   **    1.7090   262.0366 
 -11.000  -0.18046   0.13011   0.22248   144.209   -0.7126   **  -0.10400  -0.19172   0.21811  -118.477   -0.8848   **    2.2124   262.6858 
 -10.000  -0.18960   0.13647   0.23361   144.255   -0.2885   **  -0.11262  -0.20299   0.23213  -119.021   -0.3435   **    2.6944   263.2766 
  -9.000  -0.19882   0.14288   0.24484   144.297    0.1193   **  -0.12136  -0.21434   0.24631  -119.518    0.1715   **    3.1558   263.8158 
  -8.000  -0.20810   0.14934   0.25614   144.336    0.5114   **  -0.13020  -0.22576   0.26061  -119.973    0.6616   **    3.5974   264.3094 
  -7.000  -0.21743   0.15583   0.26750   144.372    0.8882   **  -0.13912  -0.23721   0.27499  -120.391    1.1281   **    4.0201   264.7623 
  -6.000  -0.22677   0.16233   0.27888   144.404    1.2501   **  -0.14808  -0.24866   0.28941  -120.775    1.5720   **    4.4243   265.1789 
  -5.000  -0.23612   0.16883   0.29027   144.434    1.5976   **  -0.15707  -0.26009   0.30384  -121.129    1.9946   **    4.8109   265.5628 
